Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2023,Madhya Pradesh,Western Region,Sep-23,14872.7928,14852,20.79,0.00%
India,FY-2023,Maharashtra,Western Region,Sep-23,27678.313,27678.313,0,0.00%
India,FY-2023,Manipur,North East Region,Sep-23,209.251,209,0.25,0.00%
India,FY-2023,Meghalaya,North East Region,Sep-23,331,331,0,0.00%
India,FY-2023,Mizoram,North East Region,Sep-23,129,129,0,0.00%
India,FY-2023,NagalAnd,North East Region,Sep-23,172.258,172,0.26,0.00%
India,FY-2023,Odisha,Eastern Region,Sep-23,5926.022745,5915.670322,10.35,0.00%
India,FY-2023,Puducherry,Southern Region,Sep-23,477.940887,477.940887,0,0.00%
India,FY-2023,Punjab,Northern Region,Sep-23,14963.76,14963.76,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Sep-23,17956,17840,116,1.00%
India,FY-2023,Sikkim,Eastern Region,Sep-23,94.08356,94.08356,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Sep-23,16860.37617,16770.2195,90.16,1.00%
India,FY-2023,Telangana,Southern Region,Sep-23,15380.3675,15370,10.37,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Sep-23,1306,1306,0,0.00%
India,FY-2023,Tripura,North East Region,Sep-23,346.392,344,2.39,1.00%
India,FY-2023,Uttar Pradesh,Northern Region,Sep-23,27389,27389,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Sep-23,2368,2293,75,3.00%
India,FY-2023,West Bengal,Eastern Region,Sep-23,10377.31825,10377.31825,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Aug-23,61.46,53,8.46,14.00%
India,FY-2023,Andhra Pradesh,Southern Region,Aug-23,12508,12508,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Aug-23,155,155,0,0.00%
India,FY-2023,Assam,North East Region,Aug-23,2353,2353,0,0.00%
India,FY-2023,Bihar,Eastern Region,Aug-23,8048.885319,7420.131627,628.75,8.00%
India,FY-2023,ChAndigarh,Northern Region,Aug-23,411,411,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Aug-23,5826.75,5826.75,0,0.00%
India,FY-2023,Delhi,Northern Region,Aug-23,7437,7437,0,0.00%
India,FY-2023,Goa,Western Region,Aug-23,666.9324,666,0.93,0.00%
India,FY-2023,Gujarat,Western Region,Aug-23,23012.201,22972,40.2,0.00%
India,FY-2023,Haryana,Northern Region,Aug-23,13088,12844,244,2.00%
India,FY-2023,Himachal Pradesh,Northern Region,Aug-23,1724,1724,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Aug-23,2192.959214,2019.96391,173,8.00%
India,FY-2023,Karnataka,Southern Region,Aug-23,16958.46,16950,8.46,0.00%
India,FY-2023,Kerala,Southern Region,Aug-23,4356.2667,4356.2667,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Aug-23,11.06415,11.06415,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Aug-23,13624.047,13605,19.05,0.00%
India,FY-2023,Maharashtra,Western Region,Aug-23,31177.97502,27996.003,3181.97,10.00%
India,FY-2023,Manipur,North East Region,Aug-23,209,209,0,0.00%
India,FY-2023,Meghalaya,North East Region,Aug-23,322,322,0,0.00%
India,FY-2023,Mizoram,North East Region,Aug-23,126,126,0,0.00%
India,FY-2023,NagalAnd,North East Region,Aug-23,174.208,174,0.21,0.00%
India,FY-2023,Odisha,Eastern Region,Aug-23,6123.942761,6123.942761,0,0.00%
India,FY-2023,Puducherry,Southern Region,Aug-23,504.815399,504.815399,0,0.00%
India,FY-2023,Punjab,Northern Region,Aug-23,15132.48,15132.48,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Aug-23,17420,17266,154,1.00%
India,FY-2023,Sikkim,Eastern Region,Aug-23,92.612738,92.612738,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Aug-23,17889.63073,17878.1974,11.43,0.00%
India,FY-2023,Telangana,Southern Region,Aug-23,14816,14816,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Aug-23,1327,1327,0,0.00%
India,FY-2023,Tripura,North East Region,Aug-23,330,330,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Aug-23,27689,27689,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Aug-23,2303,2228,75,3.00%
India,FY-2023,West Bengal,Eastern Region,Aug-23,11036.71369,11036.71369,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Jul-23,58.4,52.3,6.1,10.00%
India,FY-2023,Andhra Pradesh,Southern Region,Jul-23,11584,11584,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Jul-23,151,151,0,0.00%
India,FY-2023,Assam,North East Region,Jul-23,2390,2390,0,0.00%
India,FY-2023,Bihar,Eastern Region,Jul-23,7513.92932,7508.673249,5.26,0.00%
India,FY-2023,ChAndigarh,Northern Region,Jul-23,371,371,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Jul-23,5314.3024,5216,98.3,2.00%
India,FY-2023,Delhi,Northern Region,Jul-23,7398,7398,0,0.00%
India,FY-2023,Goa,Western Region,Jul-23,646.702375,646.25,0.45,0.00%
India,FY-2023,Gujarat,Western Region,Jul-23,17715.2964,17672,43.3,0.00%
India,FY-2023,Haryana,Northern Region,Jul-23,12260,12227,33,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Jul-23,1775,1775,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Jul-23,2036.381349,2036.381349,0,0.00%
India,FY-2023,Karnataka,Southern Region,Jul-23,12358.6725,12358.6725,0,0.00%
India,FY-2023,Kerala,Southern Region,Jul-23,3983.0624,3983.0624,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Jul-23,10.8767,10.8767,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Jul-23,12006.29,12006.29,0,0.00%
India,FY-2023,Maharashtra,Western Region,Jul-23,24543.58725,24535,8.59,0.00%
India,FY-2023,Manipur,North East Region,Jul-23,202.121,202,0.12,0.00%
India,FY-2023,Meghalaya,North East Region,Jul-23,330,330,0,0.00%
India,FY-2023,Mizoram,North East Region,Jul-23,122,122,0,0.00%
India,FY-2023,NagalAnd,North East Region,Jul-23,167,167,0,0.00%
India,FY-2023,Odisha,Eastern Region,Jul-23,6090.016732,6090.016732,0,0.00%
India,FY-2023,Puducherry,Southern Region,Jul-23,507.815399,507.815399,0,0.00%
India,FY-2023,Punjab,Northern Region,Jul-23,14665,14665,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Jul-23,14204,14204,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Jul-23,89.362648,89.362648,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Jul-23,17457.823,17457.823,0,0.00%
India,FY-2023,Telangana,Southern Region,Jul-23,12610,12610,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Jul-23,1307,1307,0,0.00%
India,FY-2023,Tripura,North East Region,Jul-23,343,343,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Jul-23,28704,28284,420,1.00%
India,FY-2023,UttarakhAnd,Northern Region,Jul-23,2298,2223,75,3.00%
India,FY-2023,West Bengal,Eastern Region,Jul-23,10696,10696,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Jun-23,61,53.5,7.5,12.00%
India,FY-2023,Andhra Pradesh,Southern Region,Jun-23,12908.8275,12900,8.83,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Jun-23,155.14,155,0.14,0.00%
India,FY-2023,Assam,North East Region,Jun-23,2307,2307,0,0.00%
India,FY-2023,Bihar,Eastern Region,Jun-23,6973.644185,6973.627649,0.02,0.00%
India,FY-2023,ChAndigarh,Northern Region,Jun-23,377,377,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Jun-23,5288.5,5288.5,0,0.00%
India,FY-2023,Delhi,Northern Region,Jun-23,7226,7226,0,0.00%
India,FY-2023,Goa,Western Region,Jun-23,776,776,0,0.00%
India,FY-2023,Gujarat,Western Region,Jun-23,22225,22225,0,0.00%
India,FY-2023,Haryana,Northern Region,Jun-23,11634,11634,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Jun-23,1753,1753,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Jun-23,2077.25565,2077.25565,0,0.00%
India,FY-2023,Karnataka,Southern Region,Jun-23,14198,14198,0,0.00%
India,FY-2023,Kerala,Southern Region,Jun-23,4610.4522,4599.7772,10.67,0.00%
India,FY-2023,Lakshadweep,Southern Region,Jun-23,11.3574,11.3574,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Jun-23,11837,11837,0,0.00%
India,FY-2023,Maharashtra,Western Region,Jun-23,28546,28546,0,0.00%
India,FY-2023,Manipur,North East Region,Jun-23,185,185,0,0.00%
India,FY-2023,Meghalaya,North East Region,Jun-23,333,333,0,0.00%
India,FY-2023,Mizoram,North East Region,Jun-23,125,125,0,0.00%
India,FY-2023,NagalAnd,North East Region,Jun-23,167,167,0,0.00%
India,FY-2023,Odisha,Eastern Region,Jun-23,6443.26209,6443.26209,0,0.00%
India,FY-2023,Puducherry,Southern Region,Jun-23,519.607727,519.607727,0,0.00%
India,FY-2023,Punjab,Northern Region,Jun-23,15292.56,15292.56,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Jun-23,15840,15840,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Jun-23,98.394954,98.394954,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Jun-23,18220.196,18220.196,0,0.00%
India,FY-2023,Telangana,Southern Region,Jun-23,11417,11417,0,0.00%
India,FY-2022,Manipur,North East Region,Jun-22,200.644,198,2.64,1.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Jun-23,1311,1311,0,0.00%
India,FY-2023,Tripura,North East Region,Jun-23,362,362,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Jun-23,27611,27611,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Jun-23,2536,2436,100,4.00%
India,FY-2023,West Bengal,Eastern Region,Jun-23,11626.18915,11626.18915,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Apr-23,60,58,2,3.00%
India,FY-2023,Andhra Pradesh,Southern Region,Apr-23,12566,12566,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Apr-23,155.186,155,0.19,0.00%
India,FY-2023,Assam,North East Region,Apr-23,2013,2013,0,0.00%
India,FY-2023,Bihar,Eastern Region,Apr-23,6372.970476,6372.970476,0,0.00%
India,FY-2023,ChAndigarh,Northern Region,Apr-23,252,252,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Apr-23,5641.75,5641.75,0,0.00%
India,FY-2023,Delhi,Northern Region,Apr-23,5422,5422,0,0.00%
India,FY-2023,Goa,Western Region,Apr-23,759.25,759.25,0,0.00%
India,FY-2023,Gujarat,Western Region,Apr-23,21627,21627,0,0.00%
India,FY-2023,Haryana,Northern Region,Apr-23,9054,7604,1450,16.00%
India,FY-2023,Himachal Pradesh,Northern Region,Apr-23,1809,1809,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Apr-23,2025.876567,2023.044305,2.83,0.00%
India,FY-2023,Karnataka,Southern Region,Apr-23,16110,16110,0,0.00%
India,FY-2023,Kerala,Southern Region,Apr-23,5010.3296,5010.3296,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Apr-23,11.68975,11.68975,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Apr-23,12402.25431,12402.25431,0,0.00%
India,FY-2023,Maharashtra,Western Region,Apr-23,28584,28584,0,0.00%
India,FY-2023,Manipur,North East Region,Apr-23,213,213,0,0.00%
India,FY-2023,Meghalaya,North East Region,Apr-23,336,336,0,0.00%
India,FY-2023,Mizoram,North East Region,Apr-23,127.228,127,0.23,0.00%
India,FY-2023,NagalAnd,North East Region,Apr-23,150,150,0,0.00%
India,FY-2023,Odisha,Eastern Region,Apr-23,6236.618345,6236.618345,0,0.00%
India,FY-2023,Puducherry,Southern Region,Apr-23,484.943604,484.943604,0,0.00%
India,FY-2023,Punjab,Northern Region,Apr-23,8187,8187,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Apr-23,13776,13776,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Apr-23,105.6661929,105.601512,0.06,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Apr-23,19044.7801,19044.7801,0,0.00%
India,FY-2023,Telangana,Southern Region,Apr-23,14591.04,14499,92.04,1.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Apr-23,1271,1271,0,0.00%
India,FY-2023,Tripura,North East Region,Apr-23,338,338,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Apr-23,23473,23473,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Apr-23,2228,2228,0,0.00%
India,FY-2023,West Bengal,Eastern Region,Apr-23,11418.39775,11414.44956,3.95,0.00%
India,FY-2022,Andaman And Nicobar IslAnds,Eastern Region,Mar-23,60,57,3,5.00%
India,FY-2022,Andhra Pradesh,Southern Region,Mar-23,12227,12227,0,0.00%
India,FY-2022,Arunachal Pradesh,North East Region,Mar-23,167,167,0,0.00%
India,FY-2022,Assam,North East Region,Mar-23,1670,1670,0,0.00%
India,FY-2022,Bihar,Eastern Region,Mar-23,5289.328132,5266.591679,22.74,0.00%
India,FY-2022,ChAndigarh,Northern Region,Mar-23,204,204,0,0.00%
India,FY-2022,Chhattisgarh,Western Region,Mar-23,5398.75,5398.75,0,0.00%
India,FY-2022,Delhi,Northern Region,Mar-23,3979,3979,0,0.00%
India,FY-2022,Goa,Western Region,Mar-23,718,718,0,0.00%
India,FY-2022,Gujarat,Western Region,Mar-23,19464,19464,0,0.00%
India,FY-2022,Haryana,Northern Region,Mar-23,7732,7732,0,0.00%
India,FY-2022,Himachal Pradesh,Northern Region,Mar-23,1922,1922,0,0.00%
India,FY-2022,JharkhAnd,Eastern Region,Mar-23,1969.959294,1719.133654,250.83,13.00%
India,FY-2022,Karnataka,Southern Region,Mar-23,15828,15828,0,0.00%
India,FY-2022,Kerala,Southern Region,Mar-23,4503.9574,4503.9574,0,0.00%
India,FY-2022,Lakshadweep,Southern Region,Mar-23,12.30615,12.30615,0,0.00%
India,FY-2022,Madhya Pradesh,Western Region,Mar-23,14298,14298,0,0.00%
India,FY-2022,Maharashtra,Western Region,Mar-23,28576.13815,28566.14,10,0.00%
India,FY-2022,Manipur,North East Region,Mar-23,212,212,0,0.00%
India,FY-2022,Meghalaya,North East Region,Mar-23,374,374,0,0.00%
India,FY-2022,Mizoram,North East Region,Mar-23,129.039,129,0.04,0.00%
India,FY-2022,NagalAnd,North East Region,Mar-23,156,156,0,0.00%
India,FY-2022,Odisha,Eastern Region,Mar-23,5541.519552,5538.959818,2.56,0.00%
India,FY-2022,Puducherry,Southern Region,Mar-23,452.639587,452.639587,0,0.00%
India,FY-2022,Punjab,Northern Region,Mar-23,8840,8840,0,0.00%
India,FY-2022,Rajasthan,Northern Region,Mar-23,15833,15637,196,1.00%
India,FY-2022,Sikkim,Eastern Region,Mar-23,112.7529894,112.644569,0.11,0.00%
India,FY-2022,Tamil Nadu,Southern Region,Mar-23,17729.2772,17729.2772,0,0.00%
India,FY-2022,Telangana,Southern Region,Mar-23,15497,15497,0,0.00%
India,FY-2022,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Mar-23,1272,1272,0,0.00%
India,FY-2022,Tripura,North East Region,Mar-23,264,264,0,0.00%
India,FY-2022,Uttar Pradesh,Northern Region,Mar-23,19572,19572,0,0.00%
India,FY-2022,UttarakhAnd,Northern Region,Mar-23,2185,2185,0,0.00%
India,FY-2022,West Bengal,Eastern Region,Mar-23,8802.741602,8802.741602,0,0.00%
India,FY-2022,Andaman And Nicobar IslAnds,Eastern Region,Feb-23,58.5,58.5,0,0.00%
India,FY-2022,Andhra Pradesh,Southern Region,Feb-23,11981,11981,0,0.00%
India,FY-2022,Arunachal Pradesh,North East Region,Feb-23,159.382,159,0.38,0.00%
India,FY-2022,Assam,North East Region,Feb-23,1572,1572,0,0.00%
India,FY-2022,Bihar,Eastern Region,Feb-23,5026.984809,5003.834361,23.15,0.00%
India,FY-2022,ChAndigarh,Northern Region,Feb-23,295,295,0,0.00%
India,FY-2022,Chhattisgarh,Western Region,Feb-23,5325.75,5325.75,0,0.00%
India,FY-2022,Delhi,Northern Region,Feb-23,4667,4667,0,0.00%
India,FY-2022,Goa,Western Region,Feb-23,688.7224,688,0.72,0.00%
India,FY-2022,Gujarat,Western Region,Feb-23,19185,19185,0,0.00%
India,FY-2022,Haryana,Northern Region,Feb-23,8570,8570,0,0.00%
India,FY-2022,Himachal Pradesh,Northern Region,Feb-23,1977,1977,0,0.00%
India,FY-2022,JharkhAnd,Eastern Region,Feb-23,2018.717027,1702.922495,315.79,16.00%
India,FY-2022,Karnataka,Southern Region,Feb-23,15543,15543,0,0.00%
India,FY-2022,Kerala,Southern Region,Feb-23,4198.0238,4198.0238,0,0.00%
India,FY-2022,Lakshadweep,Southern Region,Feb-23,11.2976,11.2976,0,0.00%
India,FY-2022,Madhya Pradesh,Western Region,Feb-23,15874.59357,15857.94273,16.65,0.00%
India,FY-2022,Maharashtra,Western Region,Feb-23,28518.9493,28499,19.95,0.00%
India,FY-2022,Manipur,North East Region,Feb-23,225,225,0,0.00%
India,FY-2022,Meghalaya,North East Region,Feb-23,394,394,0,0.00%
India,FY-2022,Mizoram,North East Region,Feb-23,139.459,139,0.46,0.00%
India,FY-2022,NagalAnd,North East Region,Feb-23,148,148,0,0.00%
India,FY-2022,Odisha,Eastern Region,Feb-23,5567.316364,5563.421969,3.89,0.00%
India,FY-2022,Puducherry,Southern Region,Feb-23,421.442413,421.442413,0,0.00%
India,FY-2022,Punjab,Northern Region,Feb-23,8864,8864,0,0.00%
India,FY-2022,Rajasthan,Northern Region,Feb-23,16754,16754,0,0.00%
India,FY-2022,Sikkim,Eastern Region,Feb-23,120.503906,120.503906,0,0.00%
India,FY-2022,Tamil Nadu,Southern Region,Feb-23,16459.2162,16459.2162,0,0.00%
India,FY-2022,Telangana,Southern Region,Feb-23,14794,14794,0,0.00%
India,FY-2022,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Feb-23,1278,1278,0,0.00%
India,FY-2022,Tripura,North East Region,Feb-23,252,252,0,0.00%
India,FY-2022,Uttar Pradesh,Northern Region,Feb-23,18602,18602,0,0.00%
India,FY-2022,UttarakhAnd,Northern Region,Feb-23,2368,2218,150,6.00%
India,FY-2022,West Bengal,Eastern Region,Feb-23,7788.77552,7788.77552,0,0.00%
India,FY-2022,Andaman And Nicobar IslAnds,Eastern Region,Jan-23,60,60,0,0.00%
India,FY-2022,Andhra Pradesh,Southern Region,Jan-23,11471.784,11433,38.78,0.00%
India,FY-2022,Arunachal Pradesh,North East Region,Jan-23,166,166,0,0.00%
India,FY-2022,Assam,North East Region,Jan-23,1651.379,1643,8.38,1.00%
India,FY-2022,Bihar,Eastern Region,Jan-23,5793.962465,5586.446709,207.52,4.00%
India,FY-2022,ChAndigarh,Northern Region,Jan-23,323,323,0,0.00%
India,FY-2022,Chhattisgarh,Western Region,Jan-23,5142.317888,5129.75,12.57,0.00%
India,FY-2022,Delhi,Northern Region,Jan-23,5623,5526,97,2.00%
India,FY-2022,Goa,Western Region,Jan-23,676.682125,675.5,1.18,0.00%
India,FY-2022,Gujarat,Western Region,Jan-23,19699.2818,19658,41.28,0.00%
India,FY-2022,Haryana,Northern Region,Jan-23,8259,8259,0,0.00%
India,FY-2022,Himachal Pradesh,Northern Region,Jan-23,2071,2071,0,0.00%
India,FY-2022,JharkhAnd,Eastern Region,Jan-23,2061.469723,1774.86035,286.61,14.00%
India,FY-2022,Karnataka,Southern Region,Jan-23,14972,14972,0,0.00%
India,FY-2022,Kerala,Southern Region,Jan-23,3979.5527,3979.5527,0,0.00%
India,FY-2022,Lakshadweep,Southern Region,Jan-23,11.48965,11.48965,0,0.00%
India,FY-2022,Madhya Pradesh,Western Region,Jan-23,17346.5997,17238,108.6,1.00%
India,FY-2022,Maharashtra,Western Region,Jan-23,27860.1,27860.1,0,0.00%
India,FY-2022,Manipur,North East Region,Jan-23,248,248,0,0.00%
India,FY-2022,Meghalaya,North East Region,Jan-23,404.121,404,0.12,0.00%
India,FY-2022,Mizoram,North East Region,Jan-23,159,159,0,0.00%
India,FY-2022,NagalAnd,North East Region,Jan-23,139,139,0,0.00%
India,FY-2022,Odisha,Eastern Region,Jan-23,5221.324291,5221.324291,0,0.00%
India,FY-2022,Puducherry,Southern Region,Jan-23,496.1787473,495.343414,0.84,0.00%
India,FY-2022,Punjab,Northern Region,Jan-23,9063,9063,0,0.00%
India,FY-2022,Rajasthan,Northern Region,Jan-23,17399,17206,193,1.00%
India,FY-2022,Sikkim,Eastern Region,Jan-23,123.1068513,122.7501,0.36,0.00%
India,FY-2022,Tamil Nadu,Southern Region,Jan-23,15720.2372,15716.8212,3.42,0.00%
India,FY-2022,Telangana,Southern Region,Jan-23,13906,13906,0,0.00%
India,FY-2022,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Jan-23,1240,1240,0,0.00%
India,FY-2022,Tripura,North East Region,Jan-23,248.773,248,0.77,0.00%
India,FY-2022,Uttar Pradesh,Northern Region,Jan-23,21342,21342,0,0.00%
India,FY-2022,UttarakhAnd,Northern Region,Jan-23,2492,2492,0,0.00%
India,FY-2022,West Bengal,Eastern Region,Jan-23,7111.947111,7108.215298,3.73,0.00%
India,FY-2022,Andaman And Nicobar IslAnds,Eastern Region,Dec-22,60,60,0,0.00%
India,FY-2022,Andhra Pradesh,Southern Region,Dec-22,10268,10268,0,0.00%
India,FY-2022,Arunachal Pradesh,North East Region,Dec-22,145,145,0,0.00%
India,FY-2022,Assam,North East Region,Dec-22,1590,1590,0,0.00%
India,FY-2022,Bihar,Eastern Region,Dec-22,5118.08953,5114.956619,3.13,0.00%
India,FY-2022,ChAndigarh,Northern Region,Dec-22,282,282,0,0.00%
India,FY-2022,Chhattisgarh,Western Region,Dec-22,4814.338925,4804.25,10.09,0.00%
India,FY-2022,Delhi,Northern Region,Dec-22,4964,4964,0,0.00%
India,FY-2022,Goa,Western Region,Dec-22,689.25,689.25,0,0.00%
India,FY-2022,Gujarat,Western Region,Dec-22,20146.19425,20111,35.19,0.00%
India,FY-2022,Haryana,Northern Region,Dec-22,8137,8137,0,0.00%
India,FY-2022,Himachal Pradesh,Northern Region,Dec-22,2004,2004,0,0.00%
India,FY-2022,JharkhAnd,Eastern Region,Dec-22,2138.184939,1708.063195,430.12,20.00%
India,FY-2022,Karnataka,Southern Region,Dec-22,13149,13149,0,0.00%
India,FY-2022,Kerala,Southern Region,Dec-22,3944.8696,3944.8696,0,0.00%
India,FY-2022,Lakshadweep,Southern Region,Dec-22,10.1361,10.1361,0,0.00%
India,FY-2022,Madhya Pradesh,Western Region,Dec-22,17140.77676,17110.83281,29.94,0.00%
India,FY-2022,Maharashtra,Western Region,Dec-22,27234,27234,0,0.00%
India,FY-2022,Manipur,North East Region,Dec-22,247,247,0,0.00%
India,FY-2022,Meghalaya,North East Region,Dec-22,395,395,0,0.00%
India,FY-2022,Mizoram,North East Region,Dec-22,143.344,143,0.34,0.00%
India,FY-2022,NagalAnd,North East Region,Dec-22,152.091,152,0.09,0.00%
India,FY-2022,Odisha,Eastern Region,Dec-22,4788.069237,4788.069237,0,0.00%
India,FY-2022,Puducherry,Southern Region,Dec-22,400.322692,400.322692,0,0.00%
India,FY-2022,Punjab,Northern Region,Dec-22,7989,7989,0,0.00%
India,FY-2022,Rajasthan,Northern Region,Dec-22,16777,16612,165,1.00%
India,FY-2022,Sikkim,Eastern Region,Dec-22,124.169088,124.169088,0,0.00%
India,FY-2022,Tamil Nadu,Southern Region,Dec-22,15304.8077,15304.8077,0,0.00%
India,FY-2022,Telangana,Southern Region,Dec-22,14017,14017,0,0.00%
India,FY-2022,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Dec-22,1228,1228,0,0.00%
India,FY-2022,Tripura,North East Region,Dec-22,241,241,0,0.00%
India,FY-2022,Uttar Pradesh,Northern Region,Dec-22,19970,19970,0,0.00%
India,FY-2022,UttarakhAnd,Northern Region,Dec-22,2374,2224,150,6.00%
India,FY-2022,West Bengal,Eastern Region,Dec-22,6615.548058,6532.664872,82.88,1.00%
India,FY-2022,Andaman And Nicobar IslAnds,Eastern Region,Nov-22,58,58,0,0.00%
India,FY-2022,Andhra Pradesh,Southern Region,Nov-22,9588,9588,0,0.00%
India,FY-2022,Arunachal Pradesh,North East Region,Nov-22,125,125,0,0.00%
India,FY-2022,Assam,North East Region,Nov-22,1714,1714,0,0.00%
India,FY-2022,Bihar,Eastern Region,Nov-22,5001.507712,4703.695069,297.81,6.00%
India,FY-2022,ChAndigarh,Northern Region,Nov-22,254,254,0,0.00%
India,FY-2022,Chhattisgarh,Western Region,Nov-22,4097.5,4097.5,0,0.00%
India,FY-2022,Delhi,Northern Region,Nov-22,3941,3941,0,0.00%
India,FY-2022,Goa,Western Region,Nov-22,678.5,678.5,0,0.00%
India,FY-2022,Gujarat,Western Region,Nov-22,19704,19704,0,0.00%
India,FY-2022,Haryana,Northern Region,Nov-22,7578,7578,0,0.00%
India,FY-2022,Himachal Pradesh,Northern Region,Nov-22,1965,1965,0,0.00%
India,FY-2022,JharkhAnd,Eastern Region,Nov-22,2127.759699,1634.922927,492.84,23.00%
India,FY-2022,Karnataka,Southern Region,Nov-22,12463.08667,12448,15.09,0.00%
India,FY-2022,Kerala,Southern Region,Nov-22,3919.2452,3919.2452,0,0.00%
India,FY-2022,Lakshadweep,Southern Region,Nov-22,10.2074,10.2074,0,0.00%
India,FY-2022,Madhya Pradesh,Western Region,Nov-22,16085,16085,0,0.00%
India,FY-2022,Maharashtra,Western Region,Nov-22,25936.35455,25927.28,9.07,0.00%
India,FY-2022,Manipur,North East Region,Nov-22,219,219,0,0.00%
India,FY-2022,Meghalaya,North East Region,Nov-22,381,381,0,0.00%
India,FY-2022,Mizoram,North East Region,Nov-22,135,135,0,0.00%
India,FY-2022,NagalAnd,North East Region,Nov-22,165,165,0,0.00%
India,FY-2022,Odisha,Eastern Region,Nov-22,5527.331978,5527.331978,0,0.00%
India,FY-2022,Puducherry,Southern Region,Nov-22,417.536804,417.536804,0,0.00%
India,FY-2022,Punjab,Northern Region,Nov-22,7267,7267,0,0.00%
India,FY-2022,Rajasthan,Northern Region,Nov-22,16023,16023,0,0.00%
India,FY-2022,Sikkim,Eastern Region,Nov-22,115.5360967,115.414911,0.12,0.00%
India,FY-2022,Tamil Nadu,Southern Region,Nov-22,14856.2585,14856.2585,0,0.00%
India,FY-2022,Telangana,Southern Region,Nov-22,9953,9953,0,0.00%
India,FY-2022,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Nov-22,1205,1205,0,0.00%
India,FY-2022,Tripura,North East Region,Nov-22,282.12,282,0.12,0.00%
India,FY-2022,Uttar Pradesh,Northern Region,Nov-22,17387,17387,0,0.00%
India,FY-2022,UttarakhAnd,Northern Region,Nov-22,2141,2141,0,0.00%
India,FY-2022,West Bengal,Eastern Region,Nov-22,7594.521709,7594.521709,0,0.00%
India,FY-2022,Andaman And Nicobar IslAnds,Eastern Region,Oct-22,58.7,58.7,0,0.00%
India,FY-2022,Andhra Pradesh,Southern Region,Oct-22,9878.3605,9847,31.36,0.00%
India,FY-2022,Arunachal Pradesh,North East Region,Oct-22,121,121,0,0.00%
