Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2024,UttarakhAnd,Northern Region,May-24,2781,2781,0,0.00%
India,FY-2024,West Bengal,Eastern Region,May-24,12191.65509,12187.38951,4.27,0.00%
India,FY-2024,Andaman And Nicobar IslAnds,Eastern Region,Apr-24,68.4,65.3,3.1,5.00%
India,FY-2024,Andhra Pradesh,Southern Region,Apr-24,13418,13418,0,0.00%
India,FY-2024,Arunachal Pradesh,North East Region,Apr-24,185.5,185,0.5,0.00%
India,FY-2024,Assam,North East Region,Apr-24,2012,2012,0,0.00%
India,FY-2024,Bihar,Eastern Region,Apr-24,6948.929872,6948.929872,0,0.00%
India,FY-2024,ChAndigarh,Northern Region,Apr-24,258,258,0,0.00%
India,FY-2024,Chhattisgarh,Western Region,Apr-24,6366.742263,6346.75,19.99,0.00%
India,FY-2024,Delhi,Northern Region,Apr-24,5447,5447,0,0.00%
India,FY-2024,Goa,Western Region,Apr-24,802.5,802.5,0,0.00%
India,FY-2024,Gujarat,Western Region,Apr-24,23932.7412,23916,16.74,0.00%
India,FY-2024,Haryana,Northern Region,Apr-24,9502,9502,0,0.00%
India,FY-2024,Himachal Pradesh,Northern Region,Apr-24,1819,1819,0,0.00%
India,FY-2024,JharkhAnd,Eastern Region,Apr-24,2133.436898,2133.436898,0,0.00%
India,FY-2024,Karnataka,Southern Region,Apr-24,17015.268,16985.375,29.89,0.00%
India,FY-2024,Kerala,Southern Region,Apr-24,5904.416667,5630.788,273.63,5.00%
India,FY-2024,Lakshadweep,Southern Region,Apr-24,12.30515,12.23,0.08,1.00%
India,FY-2024,Madhya Pradesh,Western Region,Apr-24,13151,13151,0,0.00%
India,FY-2024,Maharashtra,Western Region,Apr-24,28924,28924,0,0.00%
India,FY-2024,Manipur,North East Region,Apr-24,214,214,0,0.00%
India,FY-2024,Meghalaya,North East Region,Apr-24,408.734,408,0.73,0.00%
India,FY-2024,Mizoram,North East Region,Apr-24,130,130,0,0.00%
India,FY-2024,NagalAnd,North East Region,Apr-24,166,166,0,0.00%
India,FY-2024,Odisha,Eastern Region,Apr-24,6609.256049,6602.359027,6.9,0.00%
India,FY-2024,Puducherry,Southern Region,Apr-24,529.590088,529.590088,0,0.00%
India,FY-2024,Punjab,Northern Region,Apr-24,9914.048162,9914.048162,0,0.00%
India,FY-2024,Rajasthan,Northern Region,Apr-24,14283,14283,0,0.00%
India,FY-2024,Sikkim,Eastern Region,Apr-24,111.3560128,111.34627,0.01,0.00%
India,FY-2024,Tamil Nadu,Southern Region,Apr-24,20326.3005,20326.3005,0,0.00%
India,FY-2024,Telangana,Southern Region,Apr-24,13915.60517,13884,31.61,0.00%
India,FY-2024,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Apr-24,1292,1292,0,0.00%
India,FY-2024,Tripura,North East Region,Apr-24,363,363,0,0.00%
India,FY-2024,Uttar Pradesh,Northern Region,Apr-24,25462,25462,0,0.00%
India,FY-2024,UttarakhAnd,Northern Region,Apr-24,2357,2357,0,0.00%
India,FY-2024,West Bengal,Eastern Region,Apr-24,12644.808,12640.25518,4.55,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Mar-24,65,60,5,8.00%
India,FY-2023,Andhra Pradesh,Southern Region,Mar-24,13237.345,13237.345,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Mar-24,177.053,177,0.05,0.00%
India,FY-2023,Assam,North East Region,Mar-24,1810.358,1782,28.36,2.00%
India,FY-2023,Bihar,Eastern Region,Mar-24,5869.009485,5868.495992,0.51,0.00%
India,FY-2023,ChAndigarh,Northern Region,Mar-24,237,237,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Mar-24,6148,6148,0,0.00%
India,FY-2023,Delhi,Northern Region,Mar-24,4482,4482,0,0.00%
India,FY-2023,Goa,Western Region,Mar-24,766.5,766.5,0,0.00%
India,FY-2023,Gujarat,Western Region,Mar-24,21843,21843,0,0.00%
India,FY-2023,Haryana,Northern Region,Mar-24,7747,7747,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Mar-24,1982,1982,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Mar-24,1994.673526,1816.745603,177.93,9.00%
India,FY-2023,Karnataka,Southern Region,Mar-24,17212.48,17212.48,0,0.00%
India,FY-2023,Kerala,Southern Region,Mar-24,5283.7078,5283.7078,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Mar-24,12.30515,12.23,0.08,1.00%
